Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;Total Nacional;Total;2024;2.385,6
Total;Total Nacional;Total;2023;2.273,0
Total;Total Nacional;Total;2022;2.118,8
Total;Total Nacional;Total;2021;2.076,5
Total;Total Nacional;Total;2020;2.038,6
Total;Total Nacional;Total;2019;1.982,3
Total;Total Nacional;Total;2018;1.944,4
Total;Total Nacional;Total;2017;1.889,0
Total;Total Nacional;Total;2016;1.878,1
Total;Total Nacional;Total;2015;1.893,7
Total;Total Nacional;Total;2014;1.881,3
Total;Total Nacional;Total;2013;1.869,1
Total;Total Nacional;Total;2012;1.850,3
Total;Total Nacional;Total;2011;1.841,8
Total;Total Nacional;Total;2010;1.838,8
Total;Total Nacional;Total;2009;1.815,2
Total;Total Nacional;Total;2008;1.774,3
Total;Total Nacional;Total;2007;1.643,5
Total;Total Nacional;Total;2006;1.572,6
Total;Total Nacional;1;2024;710,2
Total;Total Nacional;1;2023;645,0
Total;Total Nacional;1;2022;619,7
Total;Total Nacional;1;2021;566,3
Total;Total Nacional;1;2020;521,3
Total;Total Nacional;1;2019;532,3
Total;Total Nacional;1;2018;479,9
Total;Total Nacional;1;2017;464,3
Total;Total Nacional;1;2016;462,7
Total;Total Nacional;1;2015;420,1
Total;Total Nacional;1;2014;411,2
Total;Total Nacional;1;2013;414,5
Total;Total Nacional;1;2012;425,6
Total;Total Nacional;1;2011;464,5
Total;Total Nacional;1;2010;482,4
Total;Total Nacional;1;2009;495,9
Total;Total Nacional;1;2008;501,3
Total;Total Nacional;1;2007;501,7
Total;Total Nacional;1;2006;474,2
Total;Total Nacional;2;2024;1.280,9
Total;Total Nacional;2;2023;1.209,6
Total;Total Nacional;2;2022;1.132,2
Total;Total Nacional;2;2021;1.033,9
Total;Total Nacional;2;2020;1.006,6
Total;Total Nacional;2;2019;994,5
Total;Total Nacional;2;2018;904,9
Total;Total Nacional;2;2017;863,9
Total;Total Nacional;2;2016;856,9
Total;Total Nacional;2;2015;829,0
Total;Total Nacional;2;2014;819,6
Total;Total Nacional;2;2013;812,2
Total;Total Nacional;2;2012;840,2
Total;Total Nacional;2;2011;863,8
Total;Total Nacional;2;2010;893,1
Total;Total Nacional;2;2009;875,9
Total;Total Nacional;2;2008;888,7
Total;Total Nacional;2;2007;852,2
Total;Total Nacional;2;2006;800,7
Total;Total Nacional;3;2024;1.488,5
Total;Total Nacional;3;2023;1.434,1
Total;Total Nacional;3;2022;1.338,8
Total;Total Nacional;3;2021;1.256,8
Total;Total Nacional;3;2020;1.237,0
Total;Total Nacional;3;2019;1.222,5
Total;Total Nacional;3;2018;1.156,5
Total;Total Nacional;3;2017;1.121,9
Total;Total Nacional;3;2016;1.118,3
Total;Total Nacional;3;2015;1.102,1
Total;Total Nacional;3;2014;1.100,9
Total;Total Nacional;3;2013;1.103,3
Total;Total Nacional;3;2012;1.121,7
Total;Total Nacional;3;2011;1.128,9
Total;Total Nacional;3;2010;1.142,0
Total;Total Nacional;3;2009;1.120,0
Total;Total Nacional;3;2008;1.113,4
Total;Total Nacional;3;2007;1.060,7
Total;Total Nacional;3;2006;1.006,0
